,date,pas,total
0,1848-07-02,98,20909
1,1848-07-03,113,20582
2,1848-07-04,91,20019
3,1848-07-05,83,19871
4,1848-07-06,95,21525
5,1848-07-07,116,20540
6,1848-07-08,109,22056
7,1848-07-09,88,21502
8,1848-07-10,101,21425
9,1848-07-11,105,21857
10,1848-07-12,97,21116
11,1848-07-13,98,19922
12,1848-07-14,103,20521
13,1848-07-15,131,21314
14,1848-07-16,96,20272
15,1848-07-17,123,20697
16,1848-07-18,123,20739
17,1848-07-19,101,19696
18,1848-07-20,87,19741
19,1848-07-21,123,19663
20,1848-07-22,93,19314
21,1848-07-23,107,20247
22,1848-07-24,206,41674
23,1848-07-25,115,20872
24,1848-07-26,126,20756
25,1848-07-27,137,21690
26,1848-07-28,124,21024
27,1848-07-29,112,20467
28,1848-07-30,149,20459
29,1848-07-31,125,20298
30,1848-08-01,137,21832
31,1848-08-02,144,20601
32,1848-08-03,147,21006
33,1848-08-04,264,44395
34,1848-08-05,120,20990
35,1848-08-06,153,20621
36,1848-08-07,114,19771
37,1848-08-08,125,19774
38,1848-08-09,148,21455
39,1848-08-10,126,21495
40,1848-08-11,223,39354
41,1848-08-12,124,20415
42,1848-08-13,124,20445
43,1848-08-14,136,20010
44,1848-08-15,129,21258
45,1848-08-16,133,21105
46,1848-08-18,98,20449
47,1848-08-19,122,20972
48,1848-08-20,297,42357
49,1848-08-21,329,42083
50,1848-08-22,153,21368
51,1848-08-23,201,31723
52,1848-08-24,149,30801
53,1848-10-25,136,20561
54,1848-10-26,169,20043
55,1848-10-27,139,19276
56,1848-10-28,140,19064
57,1848-10-29,110,19740
58,1848-10-30,119,20200
59,1848-10-31,122,20143
60,1848-11-01,108,19848
61,1848-11-02,137,19729
62,1848-11-04,249,37107
63,1848-11-05,111,18986
64,1848-11-06,97,18630
65,1848-11-07,117,19032
66,1848-11-08,100,19144
67,1848-11-09,126,19877
68,1848-11-10,103,19814
69,1848-11-11,142,19656
70,1848-11-12,121,19236
71,1848-11-13,114,19177
72,1848-11-14,148,18524
73,1848-11-15,125,19985
74,1848-11-16,110,19996
75,1848-11-17,155,19566
76,1848-11-18,130,19955
77,1848-11-19,127,19502
78,1848-11-20,123,20063
79,1848-11-21,148,20122
80,1848-11-22,137,19935
81,1848-11-23,109,19878
82,1848-11-24,93,19292
83,1848-11-25,142,19647
84,1848-11-26,147,20632
85,1848-11-27,148,18690
86,1848-11-28,110,18604
87,1848-11-29,145,19572
88,1848-11-30,144,19095
89,1848-12-01,125,19194
90,1848-12-02,110,19786
91,1848-12-03,107,18852
92,1848-12-04,88,19288
93,1848-12-05,88,19780
94,1848-12-06,101,19331
95,1848-12-07,86,19216
96,1848-12-08,127,20087
97,1848-12-09,101,18915
98,1848-12-10,111,19297
99,1848-12-11,129,20758
100,1848-12-12,91,18785
101,1848-12-13,89,17669
102,1848-12-14,74,17691
103,1848-12-15,115,18547
104,1848-12-16,75,18276
105,1848-12-17,125,18981
106,1848-12-18,112,18186
107,1848-12-19,110,19142
108,1848-12-20,98,18885
109,1848-12-21,118,19114
110,1848-12-22,119,19383
111,1848-12-23,98,19862
112,1848-12-25,119,19224
113,1848-12-26,129,19014
114,1848-12-28,118,19301
115,1848-12-29,101,17950
116,1848-12-30,90,19071
117,1848-12-31,116,19449
118,1849-01-01,130,18896
119,1849-01-02,133,20010
120,1849-01-04,94,19771
121,1849-01-05,117,20285
122,1849-01-06,116,20372
123,1849-01-07,132,20672
124,1849-01-08,124,19300
125,1849-01-09,127,21272
126,1849-01-10,93,19145
127,1849-01-11,96,19183
128,1849-01-12,79,19560
129,1849-01-13,147,19471
130,1849-01-14,125,19779
131,1849-01-15,150,19412
132,1849-01-16,98,19997
133,1849-01-17,120,20546
134,1849-01-18,104,18414
135,1849-01-19,112,19910
136,1849-01-20,140,19581
137,1849-01-21,128,21226
138,1849-01-22,148,18963
139,1849-01-23,121,20131
140,1849-01-24,147,19960
141,1849-01-25,141,19310
142,1849-01-26,133,20378
143,1849-01-27,144,20349
144,1849-01-28,119,19864
145,1849-01-29,137,20936
146,1849-01-30,136,20783
147,1849-01-31,116,20543
148,1849-02-01,139,20735
149,1849-02-02,121,20013
150,1849-02-03,120,19440
151,1849-02-04,140,20586
152,1849-02-05,137,21401
153,1849-02-06,110,19038
154,1849-02-07,112,20841
155,1849-02-08,120,19655
156,1849-02-09,132,19633
157,1849-02-10,85,18954
158,1849-02-11,90,18968
159,1849-02-12,106,19480
160,1849-02-13,126,19360
161,1849-02-14,99,19207
162,1849-02-15,120,18295
163,1849-02-16,108,19665
164,1849-02-17,81,18559
165,1849-02-18,107,19879
166,1849-02-19,96,18566
167,1849-02-20,134,20577
168,1849-02-21,116,19957
169,1849-02-22,112,19837
170,1849-02-23,127,19947
171,1849-02-24,112,19357
172,1849-02-25,138,19400
173,1849-02-26,120,20172
174,1849-02-27,94,19525
175,1849-02-28,111,19861
176,1849-03-01,113,19391
177,1849-03-02,105,19757
178,1849-03-03,117,19974
179,1849-03-04,137,19950
180,1849-03-05,126,19918
181,1849-03-06,109,20409
182,1849-03-07,100,19657
183,1849-03-08,83,18893
184,1849-03-09,281,44522
185,1849-03-10,132,19356
186,1849-03-11,168,20476
187,1849-03-12,165,20653
188,1849-03-13,140,15611
189,1849-03-14,125,20139
190,1849-03-15,110,20104
191,1849-03-16,123,19667
192,1849-03-17,127,20228
193,1849-03-18,101,19722
194,1849-03-19,99,19288
195,1849-03-20,137,20705
196,1849-03-21,197,31505
197,1849-03-22,115,20269
198,1849-03-23,144,18796
199,1849-03-24,149,20476
200,1849-03-25,143,20074
201,1849-03-26,136,19537
202,1849-03-27,124,20143
203,1849-03-28,107,19175
204,1849-03-29,152,20160
205,1849-03-30,154,20025
206,1849-03-31,130,19135
207,1849-04-01,173,18476
208,1849-04-02,148,19662
209,1849-04-03,140,20032
210,1849-04-04,141,19208
211,1849-04-05,111,18371
212,1849-04-06,92,19382
213,1849-04-07,120,18500
214,1849-04-08,87,16217
215,1849-04-09,88,18067
216,1849-04-11,95,19158
217,1849-04-12,92,19518
218,1849-04-13,97,18451
219,1849-04-14,95,17373
220,1849-04-15,126,19666
221,1849-04-16,107,19855
222,1849-04-17,75,19201
223,1849-04-18,104,18273
224,1849-04-19,71,19544
225,1849-04-20,108,18358
226,1849-04-21,106,19163
227,1849-04-22,96,18614
228,1849-04-23,112,19445
229,1849-04-24,96,19681
230,1849-04-25,106,19433
231,1849-04-26,95,19782
232,1849-04-27,64,19165
233,1849-04-28,93,18493
234,1849-04-29,133,17835
235,1849-04-30,88,19487
236,1849-05-01,117,19316
237,1849-05-02,91,19444
238,1849-05-03,135,20071
239,1849-05-04,67,18483
240,1849-05-05,70,18721
241,1849-05-06,94,18240
242,1849-05-07,136,18826
243,1849-05-08,107,19914
244,1849-05-09,112,18748
245,1849-05-10,86,19593
246,1849-05-11,131,18830
247,1849-05-12,132,19698
248,1849-05-13,104,18281
249,1849-05-14,80,16694
250,1849-05-15,104,20095
